,totalVaccinationLocation,totalInjected,population,totalOnceInjected,totalTwiceInjected,lastOnceInjected,lastTwiceInjected,currentTeamInjectInPractice,totalVaccineAllocated,popOverEighteen,totalVaccineAllocatedReality,provinceCode,provinceName,vaccineInjectionDailies,lastReportedDate,ratioOnePerAll,ratioTwicePerAll
0,590,838836,8053664,780561,58275,0,0,0,11376541,5745728,2246990,01,Hà Nội,[],,9.691998573568503,0.7235837005367991
1,1,50837,854679,47315,3522,0,0,0,978109,531581,115270,02,Hà Giang,[],,5.535996555431923,0.41208453700161113
2,1,51877,530341,43702,8175,0,0,0,678910,368973,101970,04,Cao Bằng,[],,8.24035856175555,1.5414610599595355
3,1,15083,313905,13072,2011,0,0,0,409198,222390,41290,06,Bắc Kạn,[],,4.1643172297351105,0.6406396839808223
4,1,32850,784811,27005,5845,0,0,0,985752,535735,83470,08,Tuyên Quang,[],,3.4409558479684916,0.744765300180553
5,172,61099,730420,56477,4622,0,0,0,856325,465394,111450,10,Lào Cai,[],,7.732126721612223,0.6327866159196079
6,2,61279,598856,53191,8088,0,0,0,663416,360552,101730,11,Điện Biên,[],,8.882101874240218,1.3505750965173597
7,1,32666,460196,29597,3069,0,0,0,496261,269707,63810,12,Lai Châu,[],,6.43139010334727,0.6668897600152979
8,1,50003,1248415,45801,4202,0,0,0,1458572,792702,122270,14,Sơn La,[],,3.6687319521152824,0.33658679205232234
9,192,31478,821030,27217,4261,0,0,0,1039328,564852,89510,15,Yên Bái,[],,3.314982400155902,0.5189822539980269
10,1,32601,854131,27611,4990,0,0,0,1100234,597953,99370,17,Hoà Bình,[],,3.2326422996004127,0.5842195166783549
11,77,53999,1286751,47396,6603,0,0,0,1693856,920574,143450,19,Thái Nguyên,[],,3.6833855190320426,0.5131528943828293
12,1,87350,781655,76856,10494,0,0,0,1017262,552860,187010,20,Lạng Sơn,[],,9.832470847112857,1.3425360293223993
13,1,133609,1320324,120230,13379,0,0,0,1778123,935854,337450,22,Quảng Ninh,[],,9.106098200138755,1.0133118840527022
14,287,294105,1803950,274033,20072,0,0,0,2408322,1267538,373760,24,Bắc Giang,[],,15.190720363646443,1.1126694198841431
15,1,52784,1463726,42716,10068,0,0,0,1894260,1029489,140410,25,Phú Thọ,[],,2.918305748480248,0.6878336519266584
16,155,34467,1154154,27496,6971,0,0,0,1453409,789896,141390,26,Vĩnh Phúc,[],,2.3823510554050844,0.6039921882175169
17,9,300626,1368840,278080,22546,0,0,0,1871988,985257,366860,27,Bắc Ninh,[],,20.3150112504018,1.6470880453522692
18,273,125070,1892254,106354,18716,0,0,0,2598385,1367571,224000,30,Hải Dương,[],,5.620492809104909,0.9890849748500994
19,45,67221,1837173,59745,7476,0,0,0,2857279,1503831,181840,31,Hải Phòng,[],,3.2520072959922666,0.40692955970940137
20,172,54280,1252731,45651,8629,0,0,0,1705117,897430,152690,33,Hưng Yên,[],,3.6441183302720215,0.6888150768201633
21,270,36845,1860447,33493,3352,0,0,0,2526449,1373070,157300,34,Thái Bình,[],,1.8002662800929023,0.1801717544224587
22,136,40824,852800,33985,6839,0,0,0,1126483,612219,89570,35,Hà Nam,[],,3.985107879924953,0.8019465290806754
23,249,44738,1780393,43091,1647,0,0,0,2341610,1272614,143210,36,Nam Định,[],,2.4203083251843833,0.09250766544240513
24,100,27467,982487,27002,465,0,0,0,1279525,695394,94790,37,Ninh Bình,[],,2.748331530086403,0.04732887050922811
25,762,50447,3640128,48065,2382,0,0,0,4794541,2605729,196040,38,Thanh Hóa,[],,1.320420600594265,0.06543725934912178
26,517,76453,3327791,52193,24260,0,0,0,4267816,2319465,212640,40,Nghệ An,[],,1.56839777498046,0.7290121284660004
27,1,50180,1288866,39862,10318,0,0,0,1642572,892702,144130,42,Hà Tĩnh,[],,3.0927963031067622,0.8005486993993169
28,1,39050,895430,37386,1664,0,0,0,1135015,616856,91110,44,Quảng Bình,[],,4.175200741543169,0.185832505053438
29,141,24764,632375,19805,4959,0,0,0,786243,427306,74790,45,Quảng Trị,[],,3.131844237991698,0.7841865981419253
